,model,scenario,region,variable,unit,year,value
113,West Bengal energy model,baseline,India,Primary Energy,GWa,2040,111.31055450439453
114,West Bengal energy model,baseline,India,Primary Energy|Biomass,GWa,2015,9.846107482910156
115,West Bengal energy model,baseline,India,Primary Energy|Biomass,GWa,2020,9.09118938446045
116,West Bengal energy model,baseline,India,Primary Energy|Biomass,GWa,2025,8.054819107055664
117,West Bengal energy model,baseline,India,Primary Energy|Biomass,GWa,2030,6.832188606262207
118,West Bengal energy model,baseline,India,Primary Energy|Biomass,GWa,2035,5.311278820037842
119,West Bengal energy model,baseline,India,Primary Energy|Biomass,GWa,2040,0.7053388357162476
120,West Bengal energy model,baseline,India,Primary Energy|Biomass|Modern,GWa,2015,0.17387868463993073
121,West Bengal energy model,baseline,India,Primary Energy|Biomass|Modern,GWa,2020,0.46620023250579834
122,West Bengal energy model,baseline,India,Primary Energy|Biomass|Modern,GWa,2025,0.354767769575119
123,West Bengal energy model,baseline,India,Primary Energy|Biomass|Modern,GWa,2030,0.269970178604126
124,West Bengal energy model,baseline,India,Primary Energy|Biomass|Modern,GWa,2035,0.2054411619901657
125,West Bengal energy model,baseline,India,Primary Energy|Biomass|Modern,GWa,2040,0.15633605420589447
126,West Bengal energy model,baseline,India,Primary Energy|Biomass|Traditional,GWa,2015,9.672228813171387
127,West Bengal energy model,baseline,India,Primary Energy|Biomass|Traditional,GWa,2020,8.62498950958252
128,West Bengal energy model,baseline,India,Primary Energy|Biomass|Traditional,GWa,2025,7.700051307678223
129,West Bengal energy model,baseline,India,Primary Energy|Biomass|Traditional,GWa,2030,6.56221866607666
130,West Bengal energy model,baseline,India,Primary Energy|Biomass|Traditional,GWa,2035,5.105837821960449
131,West Bengal energy model,baseline,India,Primary Energy|Biomass|Traditional,GWa,2040,0.5490027666091919
132,West Bengal energy model,baseline,India,Primary Energy|Coal,GWa,2015,43.86427307128906
133,West Bengal energy model,baseline,India,Primary Energy|Coal,GWa,2020,30.74590301513672
134,West Bengal energy model,baseline,India,Primary Energy|Coal,GWa,2025,31.800325393676758
135,West Bengal energy model,baseline,India,Primary Energy|Coal,GWa,2030,39.443199157714844
136,West Bengal energy model,baseline,India,Primary Energy|Coal,GWa,2035,48.131385803222656
137,West Bengal energy model,baseline,India,Primary Energy|Coal,GWa,2040,65.7762680053711
